Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
1304,"[23.57, 85.8]",0,0,0.0,0.3075,Bokaro,Rejected,0.0,0.0,0.46457299999999996,0.0
1305,"[23.58, 85.8]",0,0,1146.0989,0.6036,Bokaro,Rural,0.0,0.0,0.637692,0.0
1306,"[23.59, 85.8]",0,0,1734.3248,0.5111,Bokaro,Rural,0.0,0.0,0.9802780000000001,0.0
1307,"[23.6, 85.8]",0,0,695.9978,0.3783,Bokaro,Rural,0.0,0.0,1.0,0.0
1308,"[23.61, 85.8]",0,0,0.0,0.1513,Bokaro,Rural,0.0,0.0,1.0,0.0
1309,"[23.62, 85.8]",0,0,0.0,0.0839,Bokaro,Rural,0.0,0.0,1.0,0.0
1310,"[23.63, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1311,"[23.64, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1312,"[23.65, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1313,"[23.66, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1314,"[23.67, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1315,"[23.68, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.0,1.0,0.0
1316,"[23.69, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.090577,0.909423,0.0
1317,"[23.7, 85.8]",0,0,0.0,0.0,Bokaro,Rural,0.0,0.183346,0.816654,0.0
