Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
277,None,None,None,None,None,None,None,None,None,None,None,None
278,None,None,None,None,None,None,None,None,None,None,None,None
279,None,None,None,None,None,None,None,None,None,None,None,None
280,"[[26.3796572 89.7172958]
 [26.3796272 89.7169415]]",None,None,None,None,[[26.379854  89.7195744]],None,None,None,[[26.3794778 89.7197751]],None,[[26.3794506 89.7187412]]
281,"[[26.38482455 89.716144  ]
 [26.3809821  89.7119874 ]
 [26.3895957  89.7145161 ]]",None,None,None,None,None,None,None,None,None,None,None
282,None,None,None,None,None,None,None,None,None,None,None,None
283,"[[26.4059078 89.7176472]
 [26.403967  89.71227  ]
 [26.4038949 89.7121038]]",[[26.4038949 89.7121038]],None,None,None,None,None,None,None,[[26.4067589 89.7196535]],None,None
284,"[[26.4144266 89.7191   ]
 [26.4144755 89.7189974]]",None,None,None,None,None,None,None,None,None,None,None
285,None,None,None,None,None,None,None,None,None,None,None,None
286,None,None,None,None,None,None,None,None,None,None,None,None
287,None,None,None,None,None,None,None,None,None,None,None,None
288,None,None,None,None,None,None,None,None,None,None,None,None
289,None,None,None,None,None,None,None,None,None,None,None,None
290,None,None,None,None,None,None,None,None,None,None,None,None
291,None,None,None,None,None,None,None,None,None,None,None,None
292,None,None,None,None,None,None,None,None,None,None,None,None
293,None,None,None,None,None,None,None,None,None,None,None,None
294,None,None,None,None,None,None,None,None,None,None,None,None
295,None,None,None,None,None,None,None,None,None,None,None,None
296,None,None,None,None,None,None,None,None,None,None,None,None
297,None,None,None,None,None,None,None,None,None,None,None,None
298,None,None,None,None,None,None,None,None,None,None,None,None
299,None,None,None,None,None,None,None,None,None,None,None,None
300,None,None,None,None,None,None,None,None,None,None,None,None
301,None,None,None,None,None,None,None,None,None,None,None,None
302,None,None,None,None,None,None,None,None,None,None,None,None
303,None,None,None,None,None,None,None,None,None,None,None,None
304,None,None,None,None,None,None,None,None,None,None,None,None
305,None,None,None,None,None,None,None,None,None,None,None,None
306,None,None,None,None,None,None,None,None,None,None,None,None
307,None,None,None,None,None,None,None,None,None,None,None,None
308,None,None,None,None,None,None,None,None,None,None,None,None
309,None,None,None,None,None,None,None,None,None,None,None,None
310,None,None,None,None,None,None,None,None,None,None,None,None
311,None,None,None,None,None,None,None,None,None,None,None,None
312,None,None,None,None,None,None,None,None,None,None,None,None
313,[[25.7584778 89.7205629]],[[25.7584778 89.7205629]],None,None,None,None,None,None,None,None,None,None
314,[[25.7613564  89.72677305]],None,None,None,None,None,None,None,None,None,None,None
315,None,None,None,None,None,None,None,None,None,None,None,None
316,None,None,None,None,None,None,None,None,None,None,None,None
317,None,None,None,None,None,None,None,None,None,None,None,None
318,None,None,None,None,None,None,None,None,None,None,None,None
319,"[[25.8109881 89.7254327]
 [25.8114143 89.7282798]
 [25.8104695 89.7256466]
 [25.8107333 89.7272703]
 [25.8103256 89.7265783]]",[[25.8114143 89.7282798]],None,None,None,None,[[25.8164705 89.7298727]],None,None,[[25.8175302 89.728325 ]],None,None
320,None,None,None,None,None,None,None,None,None,None,None,None
321,[[25.836872  89.7237436]],None,None,None,None,None,None,None,None,None,None,None
322,"[[25.8450842 89.7235199]
 [25.8451373 89.7239246]
 [25.8453381 89.7242001]
 [25.8453401 89.7233868]
 [25.8468114 89.7225469]]",[[25.8453381 89.7242001]],None,None,None,None,[[25.8455462 89.7252204]],None,None,[[25.8435291 89.7242019]],None,None
323,"[[25.8508218 89.724222 ]
 [25.8509881 89.7239621]
 [25.8509872 89.7237785]]",[[25.8508218 89.724222 ]],None,None,None,None,None,None,None,None,None,None
324,None,None,None,None,None,None,None,None,None,None,None,None
325,None,None,None,None,None,None,None,None,None,None,None,None
326,None,None,None,None,None,None,None,None,None,None,None,None
327,None,None,None,None,None,None,None,None,None,None,None,None
328,None,None,None,None,None,None,None,None,None,None,None,None
329,None,None,None,None,None,None,None,None,None,None,None,None
330,None,None,None,None,None,None,None,None,None,None,None,None
331,None,None,None,None,None,None,None,None,None,None,None,[[25.9328185 89.7217439]]
332,None,None,None,None,None,None,None,None,None,None,None,None
333,"[[25.954325  89.729924 ]
 [25.9542246 89.7298308]
 [25.9539991 89.7298154]]",None,None,None,None,None,None,None,None,None,None,None
334,"[[25.9621573 89.7268432]
 [25.9681652 89.7281001]]",None,None,None,None,None,None,None,None,None,None,None
335,None,None,None,None,None,None,None,None,[[25.9711158 89.7258176]],None,None,None
336,None,None,None,None,None,None,None,None,None,None,None,None
337,None,None,None,None,None,None,None,None,None,None,None,None
338,None,None,None,None,None,None,None,None,None,None,None,None
339,None,None,None,None,None,None,None,None,None,None,None,None
340,None,None,None,None,None,None,None,None,None,None,None,None
341,None,None,None,None,None,None,None,None,None,None,None,None
342,None,None,None,None,None,None,None,None,None,None,None,None
343,None,None,None,None,None,None,None,None,None,None,None,None
344,None,None,None,None,None,None,None,None,None,None,None,None
345,None,None,None,None,None,None,None,None,None,None,None,None
346,None,None,None,None,None,None,None,None,None,None,None,None
347,None,None,None,None,None,None,None,None,None,None,None,None
348,None,None,None,None,None,None,None,None,None,None,None,None
349,None,None,None,None,None,None,None,None,None,None,None,None
350,None,None,None,None,None,None,None,None,None,None,None,None
351,[[26.1313705 89.7255966]],None,None,None,None,None,None,None,None,None,None,None
352,None,None,None,None,None,None,None,None,None,[[26.1408247 89.7230924]],None,"[[26.1426038 89.7238278]
 [26.1411293 89.7233122]]"
353,None,None,None,None,None,None,None,None,None,[[26.1514808 89.7236989]],None,None
354,[[26.1626312 89.7270252]],None,None,None,None,None,None,[[26.1626469 89.7273883]],None,None,None,None
355,[[26.1719607 89.7270691]],None,None,None,None,None,None,None,None,None,None,None
356,None,None,None,None,None,None,None,None,None,None,None,None
357,"[[26.1938767 89.7280344]
 [26.1944829 89.7299425]]",[[26.1938767 89.7280344]],None,None,None,None,None,None,None,[[26.195294 89.729809]],None,None
358,None,None,None,None,None,None,None,None,None,None,None,[[26.2043023 89.7297212]]
359,None,None,None,None,None,None,None,None,None,[[26.2101764 89.72384  ]],None,None
360,[[26.2273198 89.7214576]],None,None,None,None,None,None,None,None,None,None,None
361,[[26.2368594 89.7227632]],None,None,None,None,None,None,None,None,None,None,None
