Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
302,None,None,None,None,None,None,None,None,None,None,None,None
303,None,None,None,None,None,None,None,None,None,None,None,None
304,None,None,None,None,None,None,None,None,None,None,None,None
305,None,None,None,None,None,None,None,None,None,None,None,None
306,None,None,None,None,None,None,None,None,None,None,None,None
307,None,None,None,None,None,None,None,None,None,None,None,None
308,None,None,None,None,None,None,None,None,None,None,None,None
309,None,None,None,None,None,None,None,None,None,None,None,None
310,None,None,None,None,None,None,None,None,None,[[27.2662602 79.7091368]],None,None
311,None,None,None,None,None,None,None,None,None,None,None,None
312,None,None,None,None,None,None,None,None,None,None,None,None
313,None,None,None,None,None,None,None,None,None,None,None,None
314,None,None,None,None,None,None,None,None,None,None,None,None
315,[[27.3181527 79.7035265]],None,None,None,None,None,None,None,None,None,None,None
316,None,None,None,None,None,None,None,None,None,None,None,None
317,None,None,None,None,None,None,None,None,None,None,None,None
318,[[27.345662  79.7015465]],None,None,None,None,None,None,None,None,None,None,None
319,None,None,None,None,None,None,None,None,None,None,None,None
320,None,None,None,None,None,None,None,None,None,None,None,None
321,None,None,None,None,None,None,None,None,None,None,None,None
322,None,None,None,None,None,None,None,None,None,None,None,None
323,None,None,None,None,None,None,None,None,None,None,None,None
324,None,None,None,None,None,None,None,None,None,None,None,None
325,[[27.418853  79.7083701]],None,None,None,None,None,None,None,None,[[27.4189917 79.7086075]],None,None
326,None,None,None,None,None,None,None,None,None,None,None,[[27.4224096 79.7013754]]
327,None,None,None,None,None,None,None,None,None,None,None,None
328,[[27.4438253 79.7080373]],None,None,None,None,None,None,None,None,"[[27.44252   79.7055976]
 [27.4413497 79.7047846]
 [27.4413866 79.704737 ]]",None,None
329,None,None,None,None,None,None,[[27.4508588 79.7025329]],None,None,None,None,None
330,[[27.4681442 79.7027584]],[[27.4681442 79.7027584]],None,None,None,None,None,None,None,None,None,None
331,None,None,None,None,None,None,None,None,None,None,None,None
332,None,None,None,None,None,None,None,None,None,None,None,None
333,None,None,None,None,None,None,None,None,None,None,None,None
334,[[27.5087386 79.7053731]],None,None,None,None,None,None,None,None,None,None,None
335,"[[27.5138624 79.7018868]
 [27.5144    79.7036   ]]",None,None,None,None,None,None,None,None,None,None,None
336,None,None,None,None,None,None,None,None,None,None,None,None
337,None,None,None,None,None,None,None,None,None,None,None,None
338,None,None,None,None,None,None,None,None,None,None,None,None
339,None,None,None,None,None,[[27.5562695 79.7035265]],None,None,None,None,None,None
340,None,None,None,None,None,None,None,None,None,None,None,None
341,None,None,None,None,None,None,None,None,None,None,None,None
342,None,None,None,None,None,None,None,None,None,None,None,None
343,[[27.59780635 79.7066144 ]],None,None,None,None,None,None,None,None,None,None,None
344,None,None,None,None,None,None,None,None,None,None,None,None
345,None,None,None,None,None,None,None,None,None,None,None,None
346,None,None,None,None,None,None,None,None,None,None,None,None
347,None,None,None,None,None,None,None,None,None,None,None,None
348,[[27.6433131 79.7035265]],[[27.6433131 79.7035265]],None,None,None,None,None,None,None,None,None,None
349,None,None,None,None,None,None,None,None,None,None,None,None
350,[[27.6625627 79.7098718]],None,None,None,None,None,None,None,None,None,None,None
351,None,None,None,None,None,None,None,None,None,None,None,None
352,None,None,None,None,None,None,None,None,None,None,None,None
353,[[27.6997654 79.7021238]],None,None,None,None,None,None,None,None,None,None,None
354,None,None,None,None,None,None,None,None,None,None,None,None
355,None,None,None,None,None,None,None,None,None,None,None,None
356,None,None,None,None,None,None,None,None,None,None,None,None
357,None,None,None,None,None,None,None,None,None,None,None,None
358,None,None,None,None,None,None,None,None,None,None,None,None
359,None,None,None,None,None,None,None,None,None,None,None,None
360,None,None,None,None,None,None,None,None,None,None,None,None
